timestamp,state,weights
2025-04-06 23:11:52.739274,MarketStateType.RANGING,"{'BollingerBandsStrategy': 0.3333333333333333, 'TDIStrategy': 0.3333333333333333, 'MomentumStrategy': 0.3333333333333333}"
2025-04-06 23:12:00.792274,MarketStateType.RANGING,"{'BollingerBandsStrategy': 0.3333333333333333, 'TDIStrategy': 0.3333333333333333, 'MomentumStrategy': 0.3333333333333333}"
2025-04-06 23:12:08.565884,MarketStateType.RANGING,"{'BollingerBandsStrategy': 0.3333333333333333, 'TDIStrategy': 0.3333333333333333, 'MomentumStrategy': 0.3333333333333333}"
2025-04-06 23:12:16.674288,MarketStateType.RANGING,"{'BollingerBandsStrategy': 0.3333333333333333, 'TDIStrategy': 0.3333333333333333, 'MomentumStrategy': 0.3333333333333333}"
2025-04-06 23:12:24.798531,MarketStateType.RANGING,"{'BollingerBandsStrategy': 0.3333333333333333, 'TDIStrategy': 0.3333333333333333, 'MomentumStrategy': 0.3333333333333333}"
2025-04-06 23:12:31.974028,MarketStateType.RANGING,"{'BollingerBandsStrategy': 0.3333333333333333, 'TDIStrategy': 0.3333333333333333, 'MomentumStrategy': 0.3333333333333333}"
2025-04-06 23:12:40.113668,MarketStateType.RANGING,"{'BollingerBandsStrategy': 0.3333333333333333, 'TDIStrategy': 0.3333333333333333, 'MomentumStrategy': 0.3333333333333333}"
2025-04-06 23:12:47.788578,MarketStateType.RANGING,"{'BollingerBandsStrategy': 0.3333333333333333, 'TDIStrategy': 0.3333333333333333, 'MomentumStrategy': 0.3333333333333333}"
2025-04-06 23:12:55.922992,MarketStateType.RANGING,"{'BollingerBandsStrategy': 0.3333333333333333, 'TDIStrategy': 0.3333333333333333, 'MomentumStrategy': 0.3333333333333333}"
2025-04-06 23:13:03.567075,MarketStateType.RANGING,"{'BollingerBandsStrategy': 0.3333333333333333, 'TDIStrategy': 0.3333333333333333, 'MomentumStrategy': 0.3333333333333333}"
2025-04-06 23:13:11.640940,MarketStateType.RANGING,"{'BollingerBandsStrategy': 0.3333333333333333, 'TDIStrategy': 0.3333333333333333, 'MomentumStrategy': 0.3333333333333333}"
2025-04-06 23:13:19.601704,MarketStateType.RANGING,"{'BollingerBandsStrategy': 0.3333333333333333, 'TDIStrategy': 0.3333333333333333, 'MomentumStrategy': 0.3333333333333333}"
2025-04-06 23:13:27.242767,MarketStateType.RANGING,"{'BollingerBandsStrategy': 0.3333333333333333, 'TDIStrategy': 0.3333333333333333, 'MomentumStrategy': 0.3333333333333333}"
2025-04-06 23:13:35.238519,MarketStateType.RANGING,"{'BollingerBandsStrategy': 0.3333333333333333, 'TDIStrategy': 0.3333333333333333, 'MomentumStrategy': 0.3333333333333333}"
2025-04-06 23:13:42.923123,MarketStateType.RANGING,"{'BollingerBandsStrategy': 0.3333333333333333, 'TDIStrategy': 0.3333333333333333, 'MomentumStrategy': 0.3333333333333333}"
