Date,open,high,low,close,volume,Dividends,Stock Splits,bb_middle,bb_upper,bb_lower,rsi,bb_pct,price_below_lower,price_above_upper,price_reversal_up,price_reversal_down,rsi_oversold,rsi_overbought,rsi_rising,rsi_falling,signal,returns,strategy_returns,cumulative_returns
2023-01-03 00:00:00-05:00,85.45999908447266,86.95999908447266,84.20999908447266,85.81999969482422,76706000,0.0,0.0,94.22350006103515,106.12418655802037,82.32281356404994,72.51731884589971,0.8742009838944621,False,False,False,False,False,False,False,False,0,,,
2023-01-04 00:00:00-05:00,86.55000305175781,86.9800033569336,83.36000061035156,85.13999938964844,68885100,0.0,0.0,94.22350006103515,106.12418655802037,82.32281356404994,72.51731884589971,0.8742009838944621,False,False,False,False,False,False,False,False,0,-0.007923564525679994,-0.0,1.0
2023-01-05 00:00:00-05:00,85.33000183105469,85.41999816894531,83.06999969482422,83.12000274658203,67930800,0.0,0.0,94.22350006103515,106.12418655802037,82.32281356404994,72.51731884589971,0.8742009838944621,False,False,False,True,False,False,False,False,0,-0.023725589118479662,-0.0,1.0
2023-01-06 00:00:00-05:00,83.02999877929688,86.4000015258789,81.43000030517578,86.08000183105469,83303400,0.0,0.0,94.22350006103515,106.12418655802037,82.32281356404994,72.51731884589971,0.8742009838944621,False,False,True,False,False,False,False,False,0,0.035611152390083056,0.0,1.0
2023-01-09 00:00:00-05:00,87.45999908447266,89.4800033569336,87.08000183105469,87.36000061035156,65266100,0.0,0.0,94.22350006103515,106.12418655802037,82.32281356404994,72.51731884589971,0.8742009838944621,False,False,True,False,False,False,False,False,0,0.01486987397850048,0.0,1.0
2023-01-10 00:00:00-05:00,87.56999969482422,90.19000244140625,87.29000091552734,89.87000274658203,67756600,0.0,0.0,94.22350006103515,106.12418655802037,82.32281356404994,72.51731884589971,0.8742009838944621,False,False,True,False,False,False,False,False,0,0.028731709234134817,0.0,1.0
2023-01-11 00:00:00-05:00,90.93000030517578,95.26000213623047,90.93000030517578,95.08999633789062,103126200,0.0,0.0,94.22350006103515,106.12418655802037,82.32281356404994,72.51731884589971,0.8742009838944621,False,False,True,False,False,False,False,False,0,0.058083825879343465,0.0,1.0
2023-01-12 00:00:00-05:00,96.93000030517578,97.19000244140625,93.5,95.2699966430664,85254800,0.0,0.0,94.22350006103515,106.12418655802037,82.32281356404994,72.51731884589971,0.8742009838944621,False,False,False,False,False,False,False,False,0,0.0018929468094222024,0.0,1.0
2023-01-13 00:00:00-05:00,94.18000030517578,98.37000274658203,94.12000274658203,98.12000274658203,85549400,0.0,0.0,94.22350006103515,106.12418655802037,82.32281356404994,72.51731884589971,0.8742009838944621,False,False,True,False,False,False,False,False,0,0.029915043601747016,0.0,1.0
2023-01-17 00:00:00-05:00,98.68000030517578,98.88999938964844,95.7300033569336,96.05000305175781,72755000,0.0,0.0,94.22350006103515,106.12418655802037,82.32281356404994,72.51731884589971,0.8742009838944621,False,False,False,True,False,False,False,False,0,-0.02109661268732821,-0.0,1.0
2023-01-18 00:00:00-05:00,97.25,99.31999969482422,95.37999725341797,95.45999908447266,79570400,0.0,0.0,94.22350006103515,106.12418655802037,82.32281356404994,72.51731884589971,0.8742009838944621,False,False,False,False,False,False,False,False,0,-0.006142675153973931,-0.0,1.0
2023-01-19 00:00:00-05:00,94.73999786376953,95.44000244140625,92.86000061035156,93.68000030517578,69002700,0.0,0.0,94.22350006103515,106.12418655802037,82.32281356404994,72.51731884589971,0.8742009838944621,False,False,False,True,False,False,False,False,0,-0.01864654092151996,-0.0,1.0
2023-01-20 00:00:00-05:00,93.86000061035156,97.3499984741211,93.19999694824219,97.25,67481500,0.0,0.0,94.22350006103515,106.12418655802037,82.32281356404994,72.51731884589971,0.8742009838944621,False,False,True,False,False,False,False,False,0,0.03810845093076898,0.0,1.0
2023-01-23 00:00:00-05:00,97.55999755859375,97.77999877929688,95.86000061035156,97.5199966430664,76501100,0.0,0.0,94.22350006103515,106.12418655802037,82.32281356404994,72.51731884589971,0.8742009838944621,False,False,False,False,False,True,False,False,0,0.002776315095798454,0.0,1.0
2023-01-24 00:00:00-05:00,96.93000030517578,98.08999633789062,96.0,96.31999969482422,66929500,0.0,0.0,94.22350006103515,106.12418655802037,82.32281356404994,69.31567849419628,0.8742009838944621,False,False,False,True,False,False,False,True,0,-0.012305137300550828,-0.0,1.0
2023-01-25 00:00:00-05:00,92.55999755859375,97.23999786376953,91.5199966430664,97.18000030517578,94261600,0.0,0.0,94.22350006103515,106.12418655802037,82.32281356404994,72.00293129444033,0.8742009838944621,False,False,False,False,False,True,True,False,0,0.008928577793566816,0.0,1.0
2023-01-26 00:00:00-05:00,98.23999786376953,99.48999786376953,96.91999816894531,99.22000122070312,68523600,0.0,0.0,94.22350006103515,106.12418655802037,82.32281356404994,79.40102280709918,0.8742009838944621,False,False,True,False,False,True,True,False,0,0.02099198301215366,0.0,1.0
2023-01-27 00:00:00-05:00,99.52999877929688,103.48999786376953,99.52999877929688,102.23999786376953,87775600,0.0,0.0,94.22350006103515,106.12418655802037,82.32281356404994,79.4460624781913,0.8742009838944621,False,False,True,False,False,True,True,False,0,0.03043737760442866,0.0,1.0
2023-01-30 00:00:00-05:00,101.08999633789062,101.73999786376953,99.01000213623047,100.55000305175781,70691900,0.0,0.0,94.22350006103515,106.12418655802037,82.32281356404994,73.68044304744143,0.8742009838944621,False,False,False,True,False,True,False,True,0,-0.01652968356145279,-0.0,1.0
2023-01-31 00:00:00-05:00,101.16000366210938,103.3499984741211,101.13999938964844,103.12999725341797,66527300,0.0,0.0,94.22350006103515,106.12418655802037,82.32281356404994,73.74642303597622,0.8742009838944621,False,False,True,False,False,True,True,False,0,0.025658817736008643,0.0,1.0
2023-02-01 00:00:00-05:00,102.52999877929688,106.23999786376953,101.23999786376953,105.1500015258789,80450100,0.0,0.0,95.19000015258788,107.35390082578043,83.02609947939534,70.34791220885535,0.9094082005799918,False,False,True,False,False,True,False,True,0,0.019586971068148662,0.0,1.0
2023-02-02 00:00:00-05:00,110.25,114.0,108.87999725341797,112.91000366210938,158154200,0.0,0.0,96.57850036621093,110.16835440064948,82.98864633177239,77.30651628332694,1.1008711813427938,False,True,True,False,False,True,True,False,0,0.07379935352944922,0.0,1.0
2023-02-03 00:00:00-05:00,105.26000213623047,108.77999877929688,102.5199966430664,103.38999938964844,144374800,0.0,0.0,97.59200019836426,109.92058361287516,85.26341678385336,56.761608300907916,0.7351445821609909,False,False,False,True,False,False,False,True,-1,-0.08431497620839845,-0.0,1.0
2023-02-06 00:00:00-05:00,102.93000030517578,103.94999694824219,100.6500015258789,102.18000030517578,81945200,0.0,0.0,98.39700012207031,109.61291450925818,87.18108573488244,58.042506405709695,0.6686443054267095,False,False,False,True,False,False,True,False,0,-0.011703250716856073,0.011703250716856073,1.011703250716856
2023-02-07 00:00:00-05:00,101.16999816894531,102.41000366210938,98.08000183105469,102.11000061035156,119501300,0.0,0.0,99.1345001220703,109.17261048338048,89.09638976076013,58.84544230306708,0.648210190024893,False,False,False,False,False,False,True,False,0,-0.0006850625818668465,-0.0,1.011703250716856
2023-02-08 00:00:00-05:00,102.04000091552734,102.66999816894531,98.77999877929688,100.05000305175781,75878300,0.0,0.0,99.6435001373291,108.68670633292054,90.60029394173766,58.410357606581385,0.5224755969086984,False,False,False,True,False,False,False,True,0,-0.02017429777965274,-0.0,1.011703250716856
