Stock Code,Batting Avg,Gain/loss ratio,Average Gain,Average Loss,Max Return,Max Loss,Total Return(%)
AAPL,0.3684210526315789,3.2569247581241116,12.786534803935416,-3.9259533927028962,26.130592223237727,-9.3115074976036,40.63947277409592
ABNB,0.34782608695652173,1.8947910548804703,12.990470923817398,-6.855885713813906,38.22001355319629,-18.414976084446643,-14.142043070043664
ADBE,0.37037037037037035,1.5468245752301364,6.908854558459673,-4.466475817034246,38.094342158312045,-10.40711359079417,-14.71408149753869
ADI,0.23333333333333334,2.3374807898426813,9.049655920572775,-3.8715423715554222,16.86640882437125,-8.283693834500994,-27.19965151293451
ADP,0.4074074074074074,2.4372859486873075,7.252514190675598,-2.975651746805381,13.672835008985395,-8.424886077256277,31.34695909508578
ADSK,0.3333333333333333,1.4232398734107783,7.282374691658737,-5.116758480217821,20.48168304768092,-16.678700361010833,-29.173664012162448
AEP,0.43478260869565216,1.7783901233373758,6.601047720387602,-3.711810830348009,13.271995915585922,-7.173157693998933,15.074307733915981
AMAT,0.391304347826087,1.3277750119600122,8.360205768465356,-6.296402397364242,18.830987146979105,-14.730281226204422,-19.701463087116444
AMD,0.4074074074074074,1.4994754962558732,9.301709746381816,-6.203308936763416,17.332667332667317,-15.106860544549628,-7.381142391295037
AMGN,0.44,3.1941578160954998,8.133081087393771,-2.5462364590787665,23.51341930986406,-7.166610303235266,60.735858124616016
AMZN,0.5263157894736842,1.3046347340229727,8.277100858191956,-6.344381796940727,28.098760495801667,-15.921567338351794,18.346211117639342
ANSS,0.22580645161290322,2.67288627704551,8.710921483229523,-3.258994427872999,27.805958132045095,-9.552016318845125,-21.309137760528262
ARM,0.4166666666666667,6.5758451114216445,35.479080743442864,-5.395364419672679,70.45838202830801,-10.257062865869182,179.56192525204503
ASML,0.37037037037037035,1.4204635677645414,9.536867390998228,-6.7139119984660365,22.996243552439722,-19.81600307602219,-27.209315855671257
AVGO,0.3076923076923077,3.323626072903339,15.84132591376311,-4.766278024749334,41.21225302065772,-13.711456035953551,26.413370719021636
AZN,0.3333333333333333,2.879535766311539,8.466568705366738,-2.9402547467614037,17.624020095624115,-6.630762528321732,19.194580826601992
BIIB,0.2727272727272727,1.3863554248013767,4.579161659189435,-3.3030214166367124,13.642928563492962,-6.661447119462394,-24.21423820854971
BKNG,0.5,2.8428803459420173,12.085750711859507,-4.2512343965200445,33.8413511523133,-12.153841968770962,94.4203130403094
BKR,0.45454545454545453,3.1733954549785657,12.068411054280674,-3.8029962623621985,29.18621544660327,-8.440917525366176,87.3491006534062
CCEP,0.3,4.5144604914276405,8.19459634245236,-1.8151884057935181,24.93304856978309,-4.274214122243302,34.827741331952126
CDNS,0.28,2.2773876452270967,7.989866857615904,-3.508347326973915,20.85831305276904,-9.700577832253543,-11.944222074425337
CDW,0.3333333333333333,2.1749284650580556,7.468842819192783,-3.434063666546116,19.31171670658649,-10.944507608335396,-0.4163853248597915
CEG,0.4,3.378866132281784,19.875249847234468,-5.882224707675086,59.26509506233024,-14.976302451108092,122.53304778065379
CHTR,0.2962962962962963,2.100523367757815,9.150389173325376,-4.3562425030733545,23.556565833187616,-16.180447968910016,-16.89222362246453
CMCSA,0.39285714285714285,1.087913907334282,4.422575847538672,-4.065189182455917,16.222222997561175,-13.026419042636661,-22.15132074506858
COST,0.6,3.2297911934342647,8.166968585167508,-2.528636712419635,31.636429118083996,-5.1421944310366285,101.80644572486032
CPRT,0.47619047619047616,2.6435391504561285,7.561416641058168,-2.860338436733001,21.863144583391893,-10.129402690890387,47.2277977479977
CRWD,0.4,1.5595540514191688,11.128484523521779,-7.135683763826614,31.518363850519336,-20.679012345679006,-12.592402241355572
CSCO,0.3333333333333333,2.2775292357667816,6.815595748656835,-2.992539301635885,20.493350158010525,-9.648327277599867,2.163973468031699
CSGP,0.16129032258064516,2.5143399594925167,10.191040790174544,-4.053167413459658,16.427015250544663,-10.292682926829267,-45.4994108441485
CSX,0.3076923076923077,2.1067995334043155,6.175666648956437,-2.931302457133811,13.825024787098016,-6.139115301305898,-6.397656634222104
CTAS,0.5217391304347826,1.9651596755442686,7.761473012646739,-3.949538100763812,22.04128095874276,-11.204034501857574,54.10947653391687
CTSH,0.28,1.9039752921985373,5.942568027809211,-3.1211371555915908,12.80283465811336,-13.32335534193152,-16.586227365175464
DASH,0.38095238095238093,2.0981572853036154,18.253810069515968,-8.699924546826592,35.71199486850545,-22.92993630573249,8.114574150808496
DDOG,0.37037037037037035,1.2456111303059199,9.634271614669519,-7.734574122104513,21.93633952254641,-20.86664244186046,-38.97632594297853
DLTR,0.2857142857142857,2.6703043951641,10.935728519839834,-4.095311583070586,25.958866036687066,-10.644039337970735,-2.954365983739815
DXCM,0.44,1.632302296681673,8.570259443804547,-5.250411925062613,43.89114070642734,-12.843147809236743,8.052870117079557
EA,0.2916666666666667,2.2715641395702244,6.853302709123371,-3.0169972265982343,14.655835043404085,-7.8807191096737395,-6.631206155813096
EXC,0.32,2.1999293282090333,7.784542310512699,-3.538541993460358,17.459473824076532,-9.487286435765352,-2.796303208318529
FANG,0.2903225806451613,1.841107521532195,7.309010220695514,-3.969898626351195,24.11518904495795,-9.140940495757144,-25.041680029766276
FAST,0.5,1.662950040900195,5.985054455305462,-3.5990584852841443,14.769853790354826,-7.642157949757644,27.656695729385206
FTNT,0.3333333333333333,1.61090302870572,9.634423672321194,-5.980759549544066,26.0999254287845,-19.647625682108437,-31.02247112444202
GEHC,0.5,1.4246023309009526,6.580497555895734,-4.619182078506126,14.257347161722599,-14.27928490498742,10.76145378617015
